TX, TY, BM, BK, BN, AX, AY, BX, BY, GFLOPS
16, 16, 64, 16, 32, 32, 8, 16, 16, 498.17
16, 16, 64, 16, 48, 32, 8, 16, 16, 549.35
16, 16, 64, 16, 64, 32, 8, 16, 16, 586.60
16, 16, 64, 16, 80, 32, 8, 16, 16, 607.00
16, 16, 64, 16, 96, 32, 8, 16, 16, 611.34
16, 16, 64, 16, 112, 32, 8, 16, 16, 594.72
16, 16, 64, 32, 32, 32, 8, 16, 16, 529.73
16, 16, 64, 32, 48, 32, 8, 16, 16, 559.95
16, 16, 64, 32, 64, 32, 8, 16, 16, 606.60
16, 16, 64, 32, 80, 32, 8, 16, 16, 625.91
16, 16, 96, 16, 32, 32, 8, 16, 16, 533.61
16, 16, 96, 16, 48, 32, 8, 16, 16, 571.86
16, 16, 96, 16, 64, 32, 8, 16, 16, 638.91
16, 16, 96, 32, 32, 32, 8, 16, 16, 535.04
16, 16, 96, 32, 48, 32, 8, 16, 16, 581.81
16, 16, 96, 32, 64, 32, 8, 16, 16, 656.36
16, 16, 128, 16, 32, 32, 8, 16, 16, 550.13
16, 16, 128, 16, 48, 32, 8, 16, 16, 616.65
16, 16, 128, 16, 64, 32, 8, 16, 16, 683.49
16, 16, 128, 32, 32, 32, 8, 16, 16, 558.47
16, 16, 160, 16, 32, 32, 8, 16, 16, 561.65
16, 16, 160, 32, 32, 32, 8, 16, 16, 416.75
