M, K, N, TX, TY, BM, BK, BN, AX, AY, BX, BY, GFLOPS
4096, 128, 1024, 16, 16, 64, 8, 64, 32, 8, 8, 32, 413.14
4096, 128, 1024, 16, 16, 64, 8, 96, 32, 8, 8, 32, 485.27
4096, 128, 1024, 16, 16, 64, 8, 128, 32, 8, 8, 32, 585.37
4096, 128, 1024, 16, 16, 64, 8, 160, 32, 8, 8, 32, 555.13
4096, 128, 1024, 16, 16, 64, 16, 64, 32, 8, 8, 32, 449.04
4096, 128, 1024, 16, 16, 64, 16, 96, 32, 8, 8, 32, 533.58
4096, 128, 1024, 16, 16, 64, 16, 128, 32, 8, 8, 32, 545.31
4096, 128, 1024, 16, 16, 64, 16, 160, 32, 8, 8, 32, 449.26
4096, 128, 1024, 16, 16, 64, 24, 64, 32, 8, 8, 32, 436.38
4096, 128, 1024, 16, 16, 64, 24, 96, 32, 8, 8, 32, 488.14
4096, 128, 1024, 16, 16, 64, 24, 128, 32, 8, 8, 32, 475.94
4096, 128, 1024, 16, 16, 64, 24, 160, 32, 8, 8, 32, 459.62
4096, 128, 1024, 16, 16, 64, 32, 64, 32, 8, 8, 32, 448.92
4096, 128, 1024, 16, 16, 64, 32, 96, 32, 8, 8, 32, 471.31
4096, 128, 1024, 16, 16, 64, 32, 128, 32, 8, 8, 32, 520.22
4096, 128, 1024, 16, 16, 64, 32, 160, 32, 8, 8, 32, 414.45
4096, 128, 1024, 16, 16, 96, 8, 64, 32, 8, 8, 32, 458.75
4096, 128, 1024, 16, 16, 96, 8, 96, 32, 8, 8, 32, 527.93
4096, 128, 1024, 16, 16, 96, 8, 128, 32, 8, 8, 32, 555.56
4096, 128, 1024, 16, 16, 96, 8, 160, 32, 8, 8, 32, 412.08
4096, 128, 1024, 16, 16, 96, 16, 64, 32, 8, 8, 32, 460.87
4096, 128, 1024, 16, 16, 96, 16, 96, 32, 8, 8, 32, 528.64
4096, 128, 1024, 16, 16, 96, 16, 128, 32, 8, 8, 32, 580.09
4096, 128, 1024, 16, 16, 96, 16, 160, 32, 8, 8, 32, 552.59
4096, 128, 1024, 16, 16, 96, 24, 64, 32, 8, 8, 32, 432.39
4096, 128, 1024, 16, 16, 96, 24, 96, 32, 8, 8, 32, 480.51
4096, 128, 1024, 16, 16, 96, 24, 128, 32, 8, 8, 32, 515.64
4096, 128, 1024, 16, 16, 96, 24, 160, 32, 8, 8, 32, 356.67
4096, 128, 1024, 16, 16, 96, 32, 64, 32, 8, 8, 32, 454.58
4096, 128, 1024, 16, 16, 96, 32, 96, 32, 8, 8, 32, 494.77
4096, 128, 1024, 16, 16, 96, 32, 128, 32, 8, 8, 32, 544.20
4096, 128, 1024, 16, 16, 96, 32, 160, 32, 8, 8, 32, 318.62
4096, 128, 1024, 16, 16, 128, 8, 64, 32, 8, 8, 32, 447.72
4096, 128, 1024, 16, 16, 128, 8, 96, 32, 8, 8, 32, 535.34
4096, 128, 1024, 16, 16, 128, 8, 128, 32, 8, 8, 32, 465.29
4096, 128, 1024, 16, 16, 128, 8, 160, 32, 8, 8, 32, 444.04
4096, 128, 1024, 16, 16, 128, 16, 64, 32, 8, 8, 32, 412.12
4096, 128, 1024, 16, 16, 128, 16, 96, 32, 8, 8, 32, 535.76
4096, 128, 1024, 16, 16, 128, 16, 128, 32, 8, 8, 32, 454.16
4096, 128, 1024, 16, 16, 128, 16, 160, 32, 8, 8, 32, 471.40
4096, 128, 1024, 16, 16, 128, 24, 64, 32, 8, 8, 32, 435.37
4096, 128, 1024, 16, 16, 128, 24, 96, 32, 8, 8, 32, 372.35
4096, 128, 1024, 16, 16, 128, 24, 128, 32, 8, 8, 32, 395.02
4096, 128, 1024, 16, 16, 128, 24, 160, 32, 8, 8, 32, 320.50
4096, 128, 1024, 16, 16, 128, 32, 64, 32, 8, 8, 32, 446.05
4096, 128, 1024, 16, 16, 128, 32, 96, 32, 8, 8, 32, 375.24
4096, 128, 1024, 16, 16, 128, 32, 128, 32, 8, 8, 32, 309.71
4096, 128, 1024, 16, 16, 128, 32, 160, 32, 8, 8, 32, 244.38
