TX, TY, BM, BK, BN, AX, AY, BX, BY, GFLOPS
16, 16, 48, 16, 64, 16, 16, 32, 8, 554.55
16, 16, 48, 16, 96, 16, 16, 32, 8, 570.09
16, 16, 48, 16, 128, 16, 16, 32, 8, 605.52
16, 16, 48, 32, 64, 16, 16, 32, 8, 559.62
16, 16, 48, 32, 96, 16, 16, 32, 8, 586.75
16, 16, 64, 16, 64, 16, 16, 32, 8, 579.80
16, 16, 64, 16, 96, 16, 16, 32, 8, 623.44
16, 16, 64, 16, 128, 16, 16, 32, 8, 658.49
16, 16, 64, 32, 64, 16, 16, 32, 8, 591.33
16, 16, 64, 32, 96, 16, 16, 32, 8, 633.96
16, 16, 80, 16, 64, 16, 16, 32, 8, 606.14
16, 16, 80, 32, 64, 16, 16, 32, 8, 612.96
16, 16, 96, 16, 64, 16, 16, 32, 8, 626.65
16, 16, 112, 16, 64, 16, 16, 32, 8, 647.59
